school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
James Madison,1600.2662022018249,3,0.000481099643452414,0.44847451541682126,0.07780439809934431,1616.491773492186,0.8170590592173737,-0.046034475246979074,1,0.16666666666666666,0.0,0.5588934605432176,1589.4229536869148,1,0,33,Sun Belt,JMU,2026,1,2026-09-23T04:13:56Z
Mississippi State,1652.270480555281,3,0.000481099643452414,0.7308298308457709,1.181553414907849,1513.869080356578,0.10440835635094324,1.1451075717686043,1,0.16666666666666666,0.0,0.5297260467148663,1584.7561674743786,1,0,34,SEC,MSST,2026,1,2026-09-23T04:13:56Z
South Florida,1590.2586901631146,3,0.000481099643452414,0.39413909710481504,0.08654477555318962,1599.070248591024,0.6960774167904686,-0.3819976167129129,1,0.16666666666666666,0.0,0.48429639287056325,1577.48742285929,1,0,35,American Athletic,USF,2026,1,2026-09-23T04:13:56Z
Auburn,1573.9403980011189,3,0.000481099643452414,0.30553953036636333,0.04294397190236986,1593.8434325963178,0.6597804343339794,-0.4430818242521736,1,0.16666666666666666,0.0,0.41868520246941987,1566.9896323951073,1,0,36,SEC,AUB,2026,1,2026-09-23T04:13:56Z
Minnesota,1632.5380009222233,3,0.000481099643452414,0.6236930588840647,,1511.4552984379181,0.08764614393632503,0.4731812888367368,0,0.0,0.0,0.3824719471575818,1561.195511545213,1,0,37,Big Ten,MINN,2026,1,2026-09-23T04:13:56Z
Arizona,1561.9040182952758,3,0.000481099643452414,0.24018844972320583,,1566.562510189057,0.4703314154635808,-0.3209134091736522,0,0.0,0.0,0.34375278430637457,1555.00044548902,1,0,38,Big 12,ARIZ,2026,1,2026-09-23T04:13:56Z
Duke,1597.9789969978374,3,0.000481099643452414,0.43605621893680296,0.06116132672668864,1534.2752780290302,0.24611669268243674,0.2593865624493244,1,0.16666666666666666,0.0,0.336711779675657,1553.8738847481052,1,0,39,ACC,DUKE,2026,1,2026-09-23T04:13:56Z
Virginia Tech,1648.9281396313559,3,0.000481099643452414,0.7126827138060582,,1473.1509597283448,-0.17835363710761604,0.839686534072301,0,0.0,0.0,0.31171635589490476,1549.8746169431847,1,0,40,ACC,VT,2026,1,2026-09-23T04:13:56Z
Illinois,1576.683365980854,3,0.000481099643452414,0.3204323740640616,0.4969709194233946,1533.7735854255804,0.24263274994475273,-0.565250239330695,1,0.16666666666666666,0.0,0.3044979059212708,1548.7196649474033,1,0,41,Big Ten,ILL,2026,1,2026-09-23T04:13:56Z
UCF,1642.7295504342164,3,0.000481099643452414,0.679027701884208,,1471.7174492405763,-0.18830847482878776,1.3283601943863865,0,0.0,0.0,0.2887264223633599,1546.1962275781375,1,0,42,Big 12,UCF,2026,1,2026-09-23T04:13:56Z
