school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Oklahoma State,0.17499999999999996,1542.9438883612,0.5856904515638149,1.8076810278507096,0.0,0.053128086926401724,0.2942935130718975,0.2567371612256383,0.2135189896206126,0.0,6,6,-0.6799325472822791,1391.2107924348354,70,1426.4671967245615,Big 12,OKST,2022,17,2026-06-21T03:41:21Z
San José State,0.25,1407.6788284237564,-0.5692021773588367,0.0,0.0,0.2666942418481783,-1.5935777178456738,-1.3840117204253108,-0.5915398217883282,0.0,6,5,-0.6962249829979624,1388.604002720326,71,1424.0480056757224,Mountain West,SJSU,2022,17,2026-06-21T03:41:21Z
Oklahoma,0.11153846153846156,1556.1246648288738,0.864467680493321,0.0,0.0,-0.12758173646894744,0.47825534849329104,0.6527942622416255,-0.5915398217883282,0.0,6,7,-0.7041000269257781,1387.3439956918755,72,1585.4677794106858,Big 12,OU,2022,17,2026-06-21T03:41:21Z
Indiana,-0.2,1615.1032852422477,0.5451072714058647,2.350339578994589,0.0,-1.0147026876824805,1.3014098332442674,0.19908088583654712,0.4551943966498163,0.0,3,8,-0.7160059073519605,1385.4390548236863,73,1328.4718474013875,Big Ten,IU,2022,17,2026-06-21T03:41:21Z
Baylor,0.03750000000000001,1549.6721976120205,0.8784248062181665,0.0,0.0,-0.33840986376352167,0.3881993707502592,0.6726230652407965,-0.5915398217883282,0.0,5,7,-0.7739687424060334,1376.1650012150346,74,1534.662079705215,Big 12,BAY,2022,17,2026-06-21T03:41:21Z
West Virginia,-0.04999999999999998,1567.2064320073018,0.8293782893064451,0.0,0.0,-0.5875703778389275,0.632921671441406,0.6029429791821894,-0.5915398217883282,0.0,4,7,-0.8016347905676523,1371.7384335091756,75,1426.3649153473414,Big 12,WVU,2022,17,2026-06-21T03:41:21Z
Stanford,-0.35000000000000003,1627.4385824744197,0.5835112056359496,1.446842715895032,0.0,-1.4418349975260336,1.473571460054654,0.2536411198885982,0.052818037373943645,0.0,2,9,-0.8324229841391292,1366.8123225377394,76,1314.7701571857574,Pac-12,STAN,2022,17,2026-06-21T03:41:21Z
Wisconsin,0.17499999999999996,1543.1335900884917,0.463078913992374,0.0,0.0,0.053128086926401724,0.2969411475280914,0.08254370106344809,-0.5915398217883282,0.0,6,6,-0.8338647317380938,1366.5816429219049,77,1568.3779611897048,Big Ten,WIS,2022,17,2026-06-21T03:41:21Z
Navy,-0.04999999999999998,1570.009407646433,0.6336169464243824,0.0,0.0,-0.5875703778389275,0.6720423214638555,0.32482603881877126,-0.5915398217883282,0.0,4,7,-0.8597763132499338,1362.4357898800106,78,1531.2859064000745,American Athletic,NAVY,2022,17,2026-06-21T03:41:21Z
Iowa State,-0.2,1582.5750918461715,0.8294867095239664,0.0,0.0,-1.0147026876824805,0.8474194196476211,0.6030970111209095,-0.5915398217883282,0.0,3,8,-0.865462718856316,1361.5259649829895,79,1421.7582838204855,Big 12,ISU,2022,17,2026-06-21T03:41:21Z
Arizona,-0.04999999999999998,1554.258214785009,0.6527362537342628,0.0,0.0,-0.5875703778389275,0.45220562550209886,0.35198872156607636,-0.5915398217883282,0.0,4,7,-0.901621342502167,1355.7405851996532,80,1408.9075586699687,Pac-12,ARIZ,2022,17,2026-06-21T03:41:21Z
Memphis,0.17499999999999996,1509.6537350591354,0.33893383405066874,0.0,0.0,0.053128086926401724,-0.17033144418512378,-0.09382845334785404,-0.5915398217883282,0.0,6,6,-0.9789940189737136,1343.3609569642058,81,1653.3730523374636,American Athletic,MEM,2022,17,2026-06-21T03:41:21Z
Miami,-0.04999999999999998,1544.8816144408431,0.40090732461630846,0.0,0.0,-0.5875703778389275,0.3213380234639299,-0.005783095025293326,-0.5915398217883282,0.0,4,7,-1.0162774509324928,1337.395607850801,82,1345.4203369089748,ACC,MIA,2022,17,2026-06-21T03:41:21Z
Rutgers,-0.2,1588.3249505793565,0.2395009091326555,0.0,0.0,-1.0147026876824805,0.9276692113472677,-0.23509220053334196,-0.5915398217883282,0.0,3,8,-1.048973175479414,1332.1642919232938,83,1214.314054400192,Big Ten,RUTG,2022,17,2026-06-21T03:41:21Z
