school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Louisville,-0.574060580016956,-5.53046214577313,1,0,,,Ole Miss,-0.574060580016956,0.0,-0.6368726937221983,1643.9437403692637,1802.298564595764,0.6043119281676429,0.6666666666666666,0.0,0,1,0.1905837208710291,1530.4933953393647,47,ACC,LOU,2026,1,2026-09-23T04:14:10Z,
Clemson,-0.3857301971258184,-30.08969103214929,1,0,,,LSU,-0.3857301971258184,0.0,-0.5670035955822281,1462.470145054775,1802.298564595764,0.5415165095594048,0.6666666666666666,0.0,0,1,0.17200980784552708,1527.5215692552842,48,ACC,CLEM,2026,1,2026-09-23T04:14:10Z,
North Carolina,0.13747432972020135,-10.09969555137994,1,0,TCU,0.13747432972020135,,,0.0,0.8127643652845071,1513.1595162548795,1802.298564595764,-0.16328284942848867,0.6666666666666666,0.0,1,0,0.16206622214250996,1525.9305955428015,49,ACC,UNC,2026,1,2026-09-23T04:14:10Z,
Wisconsin,-0.2920505774863367,-17.738819819377827,1,0,,,Notre Dame,-0.2920505774863367,0.0,-0.20206466382354168,1483.0871755711976,1802.298564595764,0.305725381839081,0.6666666666666666,0.0,0,1,0.13646203328487344,1521.8339253255797,50,Big Ten,WIS,2026,1,2026-09-23T04:14:10Z,
Cincinnati,0.04855435813664899,-5.264686667198067,1,0,Boston College,0.04855435813664899,,,0.0,0.6889127494759678,1553.9736188260583,1802.298564595764,-0.14644725163589123,0.6666666666666666,0.0,1,0,0.1320060820680618,1521.12097313089,51,Big 12,CIN,2026,1,2026-09-23T04:14:10Z,
Kansas,0.007817702484207323,1.9643638089497841,0,1,Long Island University,0.007817702484207323,,,0.0,0.6995615125224132,1600.331431568149,1802.298564595764,-0.021478612221719005,0.8,0.0,1,0,0.12272941272710741,1519.6367060363373,52,Big 12,KU,2026,1,2026-09-23T04:14:10Z,
Michigan State,0.08606324523750108,-9.3091993983161,1,0,Toledo,0.08606324523750108,,,0.0,0.7142097752382585,1523.0672452425601,1802.298564595764,-0.19127531036698583,0.6666666666666666,0.0,1,0,0.11055305150142897,1517.6884882402287,53,Big Ten,MSU,2026,1,2026-09-23T04:14:10Z,
Colorado,0.1599433795352453,-12.560504764613935,1,0,Georgia Tech,0.1599433795352453,,,0.0,0.8274072019837845,1492.9182613110602,1802.298564595764,-0.2578540239277765,0.6666666666666666,0.0,1,0,0.1038997180427439,1516.623954886839,54,Big 12,COLO,2026,1,2026-09-23T04:14:10Z,
North Texas,-0.23796753399396978,-21.31470837869383,1,0,,,Indiana,-0.23796753399396978,0.0,-0.13527166187295833,1474.5791152263462,1802.298564595764,0.1772847233142652,0.6666666666666666,0.0,0,1,0.07309926158519069,1511.6958818536305,55,American Athletic,UNT,2026,1,2026-09-23T04:14:10Z,
Old Dominion,0.007817702484207323,-14.121018637631913,0,1,Norfolk State,0.007817702484207323,,,0.0,0.4833727722024475,1484.5857708729995,1802.298564595764,-0.03579667667321386,0.8,0.0,1,0,0.06803721310191839,1510.885954096307,56,Sun Belt,ODU,2026,1,2026-09-23T04:14:10Z,
Virginia Tech,0.007817702484207323,10.2463929437669,0,1,VMI,0.007817702484207323,,,0.0,0.8108726020719105,1648.9281396313559,1802.298564595764,-0.1408521344928144,0.8,0.0,1,0,0.04949281282013056,1507.918850051221,57,ACC,VT,2026,1,2026-09-23T04:14:10Z,
New Mexico,0.02485507217889138,-0.13388103922429906,1,0,Central Michigan,0.02485507217889138,,,0.0,0.7075422783898199,1579.320450273381,1802.298564595764,-0.27959340224144374,0.6666666666666666,0.0,1,0,0.049451824635644154,1507.912291941703,58,Mountain West,UNM,2026,1,2026-09-23T04:14:10Z,
UConn,0.007817702484207323,3.789285584601693,0,1,Lafayette,0.007817702484207323,,,0.0,0.7240885973567872,1599.9069723005387,1802.298564595764,-0.12061436720309332,0.8,0.0,1,0,0.048326225708882745,1507.7321961134212,59,FBS Independents,CONN,2026,1,2026-09-23T04:14:10Z,
West Virginia,0.04410887643895922,-17.23947537216622,1,0,Coastal Carolina,0.04410887643895922,,,0.0,0.5185300686359876,1429.6419477856111,1802.298564595764,-0.19592548470860463,0.6666666666666666,0.0,1,0,0.042226366406259486,1506.7562186250016,60,Big 12,WVU,2026,1,2026-09-23T04:14:10Z,
Maryland,0.007817702484207323,8.322067793566,0,1,Hampton,0.007817702484207323,,,0.0,0.7850095284664477,1626.1806312495996,1802.298564595764,-0.15546588595689842,0.8,0.0,1,0,0.03262919692777076,1505.2206715084433,61,Big Ten,MD,2026,1,2026-09-23T04:14:10Z,
NC State,-0.6431321172019407,-29.067782871932234,1,0,,,Virginia,-0.6431321172019407,0.0,-1.0998994984916821,1423.6767610793058,1802.298564595764,0.5246549268206765,0.6666666666666666,0.0,0,1,-0.016863214950109784,1497.3018856079825,62,ACC,NCSU,2026,1,2026-09-23T04:14:10Z,
UCF,0.007817702484207323,9.589494556743496,0,1,Bethune-Cookman,0.007817702484207323,,,0.0,0.8020438387347363,1642.7295504342164,1802.298564595764,-0.23847639148335123,0.8,0.0,1,0,-0.030372345439733772,1495.1404247296425,63,Big 12,UCF,2026,1,2026-09-23T04:14:10Z,
San Diego State,0.007817702484207323,-4.947810505579284,0,1,Portland State,0.007817702484207323,,,0.0,0.6066613739716122,1534.7748846609957,1802.298564595764,-0.20046461473515068,0.8,0.0,1,0,-0.039039416993798134,1493.7536932809924,64,Pac-12,SDSU,2026,1,2026-09-23T04:14:10Z,
Arkansas,0.007817702484207323,-17.63891596191255,0,1,North Alabama,0.007817702484207323,,,0.0,0.4360919696702809,1467.8254703641387,1802.298564595764,-0.17563742237609906,0.8,0.0,1,0,-0.053291543966823104,1491.4733529653083,65,SEC,ARK,2026,1,2026-09-23T04:14:10Z,
Syracuse,0.007817702484207323,8.594065218458447,0,1,New Hampshire,0.007817702484207323,,,0.0,0.7886651941525482,1584.5479720037479,1802.298564595764,-0.27931332010359916,0.8,0.0,1,0,-0.06571761725236974,1489.485181239621,66,ACC,SYR,2026,1,2026-09-23T04:14:10Z,
Purdue,0.007817702484207323,-10.820146282687777,0,1,Indiana State,0.007817702484207323,,,0.0,0.5277367429530478,1431.7616635038642,1802.298564595764,-0.2595866476776507,0.8,0.0,1,0,-0.10212196955151104,1483.6604848717582,67,Big Ten,PUR,2026,1,2026-09-23T04:14:10Z,
UTSA,0.007817702484207323,-7.758167413186971,0,1,UT Rio Grande Valley,0.007817702484207323,,,0.0,0.5688899674338501,1554.9181884591658,1802.298564595764,-0.27747448490989673,0.8,0.0,1,0,-0.1082015944411474,1482.6877448894163,68,American Athletic,UTSA,2026,1,2026-09-23T04:14:10Z,
Tulane,-0.7446484086620424,-22.655580649420436,1,0,,,Duke,-0.7446484086620424,0.0,-1.2293036359538898,1455.448962591901,1802.298564595764,0.4272018850788358,0.6666666666666666,0.0,0,1,-0.12496662193207281,1480.0053404908683,69,American Athletic,TULN,2026,1,2026-09-23T04:14:10Z,
East Carolina,-0.37510768704514535,-28.005230454080426,1,0,,,Alabama,-0.37510768704514535,0.0,-0.5164298443286074,1403.6254116252214,1802.298564595764,0.05523766432506109,0.6666666666666666,0.0,0,1,-0.1353181718928284,1478.3490924971475,70,American Athletic,ECU,2026,1,2026-09-23T04:14:10Z,
Georgia Tech,-0.8914276647190603,-18.298963250493344,1,0,,,Colorado,-0.8914276647190603,0.0,-1.4824574771304604,1502.8024755641297,1802.298564595764,0.4705506048246412,0.6666666666666666,0.0,0,1,-0.18045208916039274,1471.1276657343371,71,ACC,GT,2026,1,2026-09-23T04:14:10Z,
TCU,-0.856614308952147,-19.68745303962274,1,0,,,North Carolina,-0.856614308952147,0.0,-1.4271876577852862,1505.236790117492,1802.298564595764,0.43306736220160047,0.6666666666666666,0.0,0,1,-0.1870176444606952,1470.0771768862887,72,Big 12,TCU,2026,1,2026-09-23T04:14:10Z,
Stanford,-0.32901976444631054,-20.26211035773489,2,0,Hawai'i,0.05168067221593087,Miami,-0.3807004366622414,0.0,-0.3144873238290387,1415.4191271661564,1802.298564595764,-0.0860040852114479,0.5,0.0,1,1,-0.20024570452024332,1467.960687276761,73,ACC,STAN,2026,1,2026-09-23T04:14:10Z,
Boise State,-0.4646111011142218,-5.772570222475485,1,0,,,Oregon,-0.4646111011142218,0.0,-0.40769475287157636,1587.2251838707307,1802.298564595764,-0.1007070973176052,0.6666666666666666,0.0,0,1,-0.2030363158355956,1467.5141894663047,74,Pac-12,BOIS,2026,1,2026-09-23T04:14:10Z,
North Dakota State,0.08883903627393341,1.3002910605234828,1,1,Jacksonville State,0.08102133378972609,,,0.0,0.8626969147457865,1526.202964342807,1802.298564595764,-1.0064640491552166,0.5714285714285714,0.0,2,0,-0.2053950646262152,1467.1367896598056,75,Mountain West,NDSU,2026,1,2026-09-23T04:14:10Z,
Kennesaw State,0.007817702484207323,2.9048484145793125,0,1,West Georgia,0.007817702484207323,,,0.0,0.7122016957979171,1528.1898377589155,1802.298564595764,-0.46162965105365844,0.8,0.0,1,0,-0.22686338168334338,1463.7018589306651,76,Conference USA,KENN,2026,1,2026-09-23T04:14:10Z,
Troy,0.03840138107528468,-22.162704232618147,1,0,Sam Houston,0.03840138107528468,,,0.0,0.44024080864931925,1390.8158330363174,1802.298564595764,-0.6101268938176888,0.6666666666666666,0.0,1,0,-0.2600043263286861,1458.3993077874102,77,Sun Belt,TROY,2026,1,2026-09-23T04:14:10Z,
Temple,0.007817702484207323,-11.623662399372972,0,1,Rhode Island,0.007817702484207323,,,0.0,0.5169374263890902,1412.2936152004381,1802.298564595764,-0.480592871407311,0.8,0.0,1,0,-0.28108681184803075,1455.0261101043152,78,American Athletic,TEM,2026,1,2026-09-23T04:14:10Z,
Georgia Southern,0.007817702484207323,-6.321079811294233,0,1,Charleston Southern,0.007817702484207323,,,0.0,0.5882045320340008,1477.2365131652784,1802.298564595764,-0.5087261026840821,0.8,0.0,1,0,-0.2893399757404656,1453.7056038815256,79,Sun Belt,GASO,2026,1,2026-09-23T04:14:10Z,
Southern Miss,0.007817702484207323,2.441735835471114,0,1,Alcorn State,0.007817702484207323,,,0.0,0.7059774281787777,1532.994776841314,1802.298564595764,-0.544632920359962,0.8,0.0,1,0,-0.2945108506522141,1452.8782638956457,80,Sun Belt,USM,2026,1,2026-09-23T04:14:10Z,
Louisiana Tech,0.007817702484207323,11.015778933867487,0,1,Northwestern State,0.007817702484207323,,,0.0,0.8212132071878941,1627.9530793531392,1802.298564595764,-0.5792208625928473,0.8,0.0,1,0,-0.2991340486366991,1452.138552218128,81,Sun Belt,LT,2026,1,2026-09-23T04:14:10Z,
Florida State,-0.6820361687954605,-8.898012819727171,2,0,New Mexico State,0.05559945146491774,SMU,-0.7376356202603782,0.0,-0.9114346974179437,1575.9280514504019,1802.298564595764,0.28063768011116247,0.5,0.0,1,1,-0.3153985086533906,1449.5362386154575,82,ACC,FSU,2026,1,2026-09-23T04:14:10Z,
