school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Arizona,0.0,0.0,0.0,0.5800244592042658,1538.3429675519162,0.07396319592967493,1511.834111348748,27,Big 12,ARIZ,2026,0,2026-08-24T12:48:51Z
Minnesota,0.0,0.0,0.0,0.5485672703786374,1536.269753670959,0.06995185781524663,1511.1922972504394,28,Big Ten,MINN,2026,0,2026-08-24T12:48:51Z
Akron,0.0,0.0,0.0,0.5469235977628062,1536.1614259719463,0.0697422609994576,1511.1587617599132,29,Mid-American,AKR,2026,0,2026-08-24T12:48:51Z
Clemson,0.0,0.0,0.0,0.5459768477839491,1536.099029576361,0.06962153392826013,1511.1394454285216,30,ACC,CLEM,2026,0,2026-08-24T12:48:51Z
Toledo,0.0,0.0,0.0,0.533591269087595,1535.282747046498,0.06804215745665823,1510.8867451930653,31,Mid-American,TOL,2026,0,2026-08-24T12:48:51Z
NC State,0.0,0.0,0.0,0.5051727092488976,1533.4097966992501,0.06441829733139316,1510.306927573023,32,ACC,NCSU,2026,0,2026-08-24T12:48:51Z
LSU,0.0,0.0,0.0,0.490933042783106,1532.4713188733795,0.06260249245615142,1510.0163987929843,33,SEC,LSU,2026,0,2026-08-24T12:48:51Z
Michigan,0.0,0.0,0.0,0.48538399191753684,1532.105603763094,0.06189489206123551,1509.9031827297977,34,Big Ten,MICH,2026,0,2026-08-24T12:48:51Z
Boise State,0.0,0.0,0.0,0.48442244772619486,1532.0422323418366,0.06177227847091065,1509.8835645553456,35,Pac-12,BOIS,2026,0,2026-08-24T12:48:51Z
Baylor,0.0,0.0,0.0,0.47278303817921485,1531.2751267504023,0.06028805152984327,1509.646088244775,36,Big 12,BAY,2026,0,2026-08-24T12:48:51Z
South Alabama,0.0,0.0,0.0,0.4569252115026528,1530.2300026431624,0.05826590311371186,1509.3225444981938,37,Sun Belt,USA,2026,0,2026-08-24T12:48:51Z
Alabama,0.0,0.0,0.0,0.4189963024236389,1527.7302643090075,0.05342930822690557,1508.548689316305,38,SEC,ALA,2026,0,2026-08-24T12:48:51Z
Nebraska,0.0,0.0,0.0,0.3683939232565751,1524.3952697079278,0.04697662571421316,1507.516260114274,39,Big Ten,NEB,2026,0,2026-08-24T12:48:51Z
UAB,0.0,0.0,0.0,0.36735139638039677,1524.3265610511262,0.04684368542457345,1507.4949896679318,40,American Athletic,UAB,2026,0,2026-08-24T12:48:51Z
UCLA,0.0,0.0,0.0,0.3401328197479237,1522.5326966595196,0.04337284400668507,1506.9396550410695,41,Big Ten,UCLA,2026,0,2026-08-24T12:48:51Z
California,0.0,0.0,0.0,0.33339835627808756,1522.0888558820154,0.042514082909292594,1506.8022532654868,42,ACC,CAL,2026,0,2026-08-24T12:48:51Z
Eastern Michigan,0.0,0.0,0.0,0.3025642067710309,1520.056703958972,0.03858219313270617,1506.173150901233,43,Mid-American,EMU,2026,0,2026-08-24T12:48:51Z
Florida State,0.0,0.0,0.0,0.2544703888954352,1516.8870383108238,0.032449395768576285,1505.1919033229722,44,ACC,FSU,2026,0,2026-08-24T12:48:51Z
Florida Atlantic,0.0,0.0,0.0,0.23439907383482594,1515.5642205211166,0.029889954378068868,1504.782392700491,45,American Athletic,FAU,2026,0,2026-08-24T12:48:51Z
Maryland,0.0,0.0,0.0,0.22780216069167092,1515.129445119676,0.029048733337136194,1504.6477973339418,46,Big Ten,MD,2026,0,2026-08-24T12:48:51Z
Air Force,0.0,0.0,0.0,0.22667322335011963,1515.0550415046482,0.02890477421186062,1504.6247638738978,47,Mountain West,AF,2026,0,2026-08-24T12:48:51Z
Utah State,0.0,0.0,0.0,0.20698194201055214,1513.7572701737986,0.026393793723515604,1504.2230069957625,48,Pac-12,USU,2026,0,2026-08-24T12:48:51Z
Ohio,0.0,0.0,0.0,0.19909827039831499,1513.2376898161895,0.02538848862155306,1504.0621581794485,49,Mid-American,OHIO,2026,0,2026-08-24T12:48:51Z
Vanderbilt,0.0,0.0,0.0,0.1757254866800254,1511.6972858115605,0.02240805261726903,1503.585288418763,50,SEC,VAN,2026,0,2026-08-24T12:48:51Z
