school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Texas State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.7986632946125574,1372.213872861991,102,1500.7887231386972,Pac-12,TXST,2026,0,2026-06-21T03:29:00Z
Oregon State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.828981035248771,1367.3630343601967,103,1485.6063927350317,Pac-12,ORST,2026,0,2026-06-21T03:29:00Z
Colorado State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.8518070827484407,1363.7108667602495,104,1477.8045098102198,Pac-12,CSU,2026,0,2026-06-21T03:29:00Z
Rice,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.8676278239195051,1361.179548172879,105,1467.7049897259917,American Athletic,RICE,2026,0,2026-06-21T03:29:00Z
Oklahoma State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.8774647783360309,1359.605635466235,106,1487.1177139902586,Big 12,OKST,2026,0,2026-06-21T03:29:00Z
Charlotte,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.910432027623793,1354.3308755801932,107,1466.4028404653388,American Athletic,CLT,2026,0,2026-06-21T03:29:00Z
Central Michigan,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9456291073717079,1348.6993428205267,108,1471.4993868175331,Mid-American,CMU,2026,0,2026-06-21T03:29:00Z
Missouri State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9514783793576197,1347.7634593027808,109,1470.571260437962,Conference USA,MOST,2026,0,2026-06-21T03:29:00Z
Southern Miss,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9610497054273025,1346.2320471316316,110,1484.9914854580907,Sun Belt,USM,2026,0,2026-06-21T03:29:00Z
UAB,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9702839407913315,1344.754569473387,111,1475.033922800793,American Athletic,UAB,2026,0,2026-06-21T03:29:00Z
Air Force,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9822369270128839,1342.8420916779387,112,1494.7323350080733,Mountain West,AF,2026,0,2026-06-21T03:29:00Z
Florida Atlantic,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9849558372424089,1342.4070660412146,113,1480.8870433357424,American Athletic,FAU,2026,0,2026-06-21T03:29:00Z
Florida International,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9876077125315921,1341.9827659949453,114,1483.3923785461113,Conference USA,FIU,2026,0,2026-06-21T03:29:00Z
Arkansas State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.000322002638114,1339.9484795779017,115,1485.8072145295994,Sun Belt,ARST,2026,0,2026-06-21T03:29:00Z
Nevada,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.025113571203618,1335.9818286074212,116,1474.2395026356994,Mountain West,NEV,2026,0,2026-06-21T03:29:00Z
App State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.051501766200049,1331.7597174079922,117,1483.1753316422482,Sun Belt,APP,2026,0,2026-06-21T03:29:00Z
Louisiana,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.061332499841921,1330.1868000252925,118,1486.052402014248,Sun Belt,UL,2026,0,2026-06-21T03:29:00Z
San José State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0661793742219867,1329.411300124482,119,1471.609445275114,Mountain West,SJSU,2026,0,2026-06-21T03:29:00Z
Georgia State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0773186191141622,1327.629020941734,120,1478.562871594215,Sun Belt,GAST,2026,0,2026-06-21T03:29:00Z
Eastern Michigan,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0813176081935094,1326.9891826890384,121,1480.5512048146386,Mid-American,EMU,2026,0,2026-06-21T03:29:00Z
Wyoming,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.090583222786786,1325.5066843541142,122,1475.1096444509892,Mountain West,WYO,2026,0,2026-06-21T03:29:00Z
Ball State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.1005496495161373,1323.9120560774181,123,1462.8708100386307,Mid-American,BALL,2026,0,2026-06-21T03:29:00Z
Tulsa,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.1215144467270775,1320.5576885236676,124,1476.8358206036735,American Athletic,TLSA,2026,0,2026-06-21T03:29:00Z
South Alabama,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.1359770587142166,1318.2436706057254,125,1482.2423162736293,Sun Belt,USA,2026,0,2026-06-21T03:29:00Z
Kent State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.151255541321436,1315.7991133885703,126,1458.7414575038495,Mid-American,KENT,2026,0,2026-06-21T03:29:00Z
Delaware,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.1921521856229906,1309.2556503003216,127,1454.3776380188897,Conference USA,DEL,2026,0,2026-06-21T03:29:00Z
Liberty,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.2000600524265508,1307.9903916117519,128,1492.1292493178566,Conference USA,LIB,2026,0,2026-06-21T03:29:00Z
UL Monroe,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.2022843625460033,1307.6345019926393,129,1461.044351715471,Sun Belt,ULM,2026,0,2026-06-21T03:29:00Z
Northern Illinois,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3144692863371255,1289.6849141860598,130,1470.5776761926527,Mountain West,NIU,2026,0,2026-06-21T03:29:00Z
Buffalo,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3559265659391848,1283.0517494497303,131,1477.5302211248802,Mid-American,BUF,2026,0,2026-06-21T03:29:00Z
Bowling Green,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3650637081584138,1281.5898066946538,132,1477.1533592751061,Mid-American,BGSU,2026,0,2026-06-21T03:29:00Z
New Mexico State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.3679190547943867,1281.1329512328982,133,1461.3487633909078,Conference USA,NMSU,2026,0,2026-06-21T03:29:00Z
Middle Tennessee,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.474807379429852,1264.0308192912237,134,1472.1938731207879,Conference USA,MTSU,2026,0,2026-06-21T03:29:00Z
Sam Houston,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.5001334672583846,1259.9786452386584,135,1460.4372466638035,Conference USA,SHSU,2026,0,2026-06-21T03:29:00Z
Akron,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.5219080497308983,1256.4947120430563,136,1470.9483747758543,Mid-American,AKR,2026,0,2026-06-21T03:29:00Z
UTEP,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.6081035616096704,1242.7034301424528,137,1473.8739851461796,Mountain West,UTEP,2026,0,2026-06-21T03:29:00Z
Massachusetts,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.620582599063414,1240.7067841498538,138,1449.113482628045,Mid-American,MASS,2026,0,2026-06-21T03:29:00Z
