school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Oregon State,0.10023435122149568,0.8509097003724346,0.0,0.1765044093099653,1515.5430287057882,0.1095648726214987,1517.5303796194398,42,Pac-12,ORST,2019,17,2026-06-21T03:41:18Z
Stanford,0.12827956925529307,0.6558349406890325,0.0,-1.9271726081351508,1358.191311211338,0.09736911866792347,1515.5790589868677,43,Pac-12,STAN,2019,17,2026-06-21T03:41:18Z
Ole Miss,0.014908768862876258,1.0567556471147184,0.0,-0.5987820184665191,1608.9624786785507,0.09691685720597121,1515.5066971529554,44,SEC,MISS,2019,17,2026-06-21T03:41:18Z
Purdue,-0.2763254232986085,1.0446070297962264,0.0,-0.4799602817149664,1448.720807777174,0.08720741887330441,1513.9531870197286,45,Big Ten,PUR,2019,17,2026-06-21T03:41:18Z
Air Force,0.12599351249650215,0.3469815810694193,0.0,-0.29735263568910586,1736.9494400091635,0.08624380290778419,1513.7990084652454,46,Mountain West,AF,2019,17,2026-06-21T03:41:18Z
South Carolina,-0.33850994732735834,0.8876010326291219,0.0,0.6081909168958967,1517.4016299006337,0.08525473138288898,1513.6407570212623,47,SEC,SC,2019,17,2026-06-21T03:41:18Z
Tulsa,0.5198971829031795,0.24515882945105788,0.0,0.026312874434469686,1521.1434286613055,0.06538580773909325,1510.461729238255,48,American Athletic,TLSA,2019,17,2026-06-21T03:41:18Z
Indiana,0.14257816198516904,0.661989778526737,0.0,0.6337090978443893,1577.4694782725687,0.06466269613601403,1510.3460313817623,49,Big Ten,IU,2019,17,2026-06-21T03:41:18Z
Houston,-0.274469454965085,0.4404842584861844,0.0,0.7688234415419761,1486.9476492308556,0.05891672032305042,1509.426675251688,50,American Athletic,HOU,2019,17,2026-06-21T03:41:18Z
Boise State,0.16204567700362468,0.14207641102005358,0.0,-0.47561433838994643,1675.1467419379564,0.03261027891188595,1505.2176446259018,51,Mountain West,BOIS,2019,17,2026-06-21T03:41:18Z
Colorado,0.0041108915880440355,0.6342744818230286,0.0,0.6703602750779181,1359.44590332125,0.0278128050787472,1504.4500488125996,52,Pac-12,COLO,2019,17,2026-06-21T03:41:18Z
Michigan State,-0.6169100317770269,0.451248522903013,0.0,0.14831893414372707,1466.6397274799042,0.017642332311339534,1502.8227731698144,53,Big Ten,MSU,2019,17,2026-06-21T03:41:18Z
Illinois,0.23480158164148673,0.3789164088452593,0.0,-0.1000121802067247,1412.0842085330185,0.011755155540020629,1501.8808248864034,54,Big Ten,ILL,2019,17,2026-06-21T03:41:18Z
Virginia,0.16418653115478243,0.43344392071048876,0.0,0.2971225054909846,1618.3884508572091,-0.004450456324394558,1499.2879269880968,55,ACC,UVA,2019,17,2026-06-21T03:41:18Z
Missouri,-0.16722210116785735,0.6123024212522884,0.0,-0.13797318151423718,1540.3376574867234,-0.0234444482229057,1496.2488882843352,56,SEC,MIZ,2019,17,2026-06-21T03:41:18Z
California,-0.16766119856696646,0.3170099160950789,0.0,-0.021216256328721046,1508.2785728677193,-0.028906025946869307,1495.3750358485008,57,Pac-12,CAL,2019,17,2026-06-21T03:41:18Z
Miami,0.7335326017469095,-0.6031138277016598,0.0,0.08947076875535982,1483.5595663959532,-0.04048939990756187,1493.52169601479,58,ACC,MIA,2019,17,2026-06-21T03:41:18Z
West Virginia,-0.123529507559203,0.6952309823658654,0.0,-0.527816489451777,1425.2579887541688,-0.05662735441030559,1490.9396232943511,59,Big 12,WVU,2019,17,2026-06-21T03:41:18Z
Mississippi State,-0.3342099751433719,0.8602090480351482,0.0,0.39433415141513023,1542.2826423434767,-0.06217455336940475,1490.0520714608951,60,SEC,MSST,2019,17,2026-06-21T03:41:18Z
Kentucky,0.1476245370047932,0.3878357800227415,0.0,0.2941133937090049,1707.482812569163,-0.07066847271928522,1488.6930443649144,61,SEC,UK,2019,17,2026-06-21T03:41:18Z
Louisville,-0.5491211694825053,0.14074190445309087,0.0,0.4345061698564584,1511.469164665936,-0.09906087768742383,1484.1502595700122,62,ACC,LOU,2019,17,2026-06-21T03:41:18Z
Western Kentucky,0.6216680477497917,-0.4536940766564323,0.0,0.07808501849656707,1597.9677109355393,-0.12812089084432793,1479.5006574649076,63,Conference USA,WKU,2019,17,2026-06-21T03:41:18Z
Western Michigan,0.9657445411133061,-0.9480933462861605,0.0,0.013107392856437344,1519.786693065772,-0.1291213215155701,1479.3405885575087,64,Mid-American,WMU,2019,17,2026-06-21T03:41:18Z
Texas Tech,-0.29131390337469665,0.5688750086709584,0.0,0.054090806736334374,1478.436906793854,-0.14260764469991274,1477.1827768480139,65,Big 12,TTU,2019,17,2026-06-21T03:41:18Z
Northwestern,-0.4345693698839567,0.46196191637208367,0.0,-0.4161836714941748,1401.8238704998823,-0.15353877887896045,1475.4337953793663,66,Big Ten,NU,2019,17,2026-06-21T03:41:18Z
Florida Atlantic,-0.113696818624935,-0.13783547248997366,0.0,-0.164694955864438,1827.6527908387116,-0.16097885863514438,1474.243382618377,67,Conference USA,FAU,2019,17,2026-06-21T03:41:18Z
Arkansas,-1.2442749845131258,1.0833243291586725,0.0,-0.462619566750173,1287.6096972993028,-0.20071510729473044,1467.885582832843,68,SEC,ARK,2019,17,2026-06-21T03:41:18Z
Kansas,-0.5956137157328907,0.5041908328116318,0.0,-0.6002034331459756,1223.702061779064,-0.21921078803827046,1464.9262739138767,69,Big 12,KU,2019,17,2026-06-21T03:41:18Z
Hawai'i,-0.5297226508536198,-0.3568054081752739,0.0,-0.1251438530244816,1542.229777292345,-0.26332797739215025,1457.867523617256,70,Mountain West,HAW,2019,17,2026-06-21T03:41:18Z
Florida State,-0.33694163818856465,0.12377103815304119,0.0,0.18577760633800897,1508.6227646590032,-0.26501761719226036,1457.5971812492382,71,ACC,FSU,2019,17,2026-06-21T03:41:18Z
Temple,-0.3284218284567796,-0.361201466001775,0.0,-0.08069463636251589,1400.6033047543758,-0.30432178228933204,1451.3085148337068,72,American Athletic,TEM,2019,17,2026-06-21T03:41:18Z
Ball State,0.45391893710296044,-0.8523019294650204,0.0,-0.6659389521104515,1518.1249976743466,-0.3092701929618521,1450.5167691261036,73,Mid-American,BALL,2019,17,2026-06-21T03:41:18Z
Colorado State,-0.09097732391457126,-0.2573615341757734,0.0,-1.1367106524470258,1430.5228484940253,-0.3314207648093087,1446.9726776305106,74,Mountain West,CSU,2019,17,2026-06-21T03:41:18Z
UL Monroe,0.11854813913404982,-0.7832126998045992,0.0,-0.2822040728543415,1381.7879572608847,-0.35462146910480336,1443.2605649432314,75,Sun Belt,ULM,2019,17,2026-06-21T03:41:18Z
UAB,0.21319331214823256,-1.0042705041022668,0.0,-0.7858205447649915,1419.3482716979968,-0.38463710068781687,1438.4580638899492,76,Conference USA,UAB,2019,17,2026-06-21T03:41:18Z
Arizona,-1.0652053651620532,0.43517090221567584,0.0,-0.01418060576393414,1301.369633423477,-0.3938876945194117,1436.9779688768942,77,Pac-12,ARIZ,2019,17,2026-06-21T03:41:18Z
Wyoming,-0.403341789128951,-0.2714942748509313,0.0,-0.4269602156138806,1596.3833575752699,-0.39437778664231027,1436.8995541372303,78,Mountain West,WYO,2019,17,2026-06-21T03:41:18Z
Georgia Southern,0.41619599589877165,-1.0754836932349428,0.0,0.11565857880805146,1518.5442499750493,-0.40614196151695114,1435.0172861572878,79,Sun Belt,GASO,2019,17,2026-06-21T03:41:18Z
Duke,-0.523346534358211,-0.1411932045810663,0.0,-0.6515510123366424,1368.3119545630482,-0.4087594457878717,1434.5984886739404,80,ACC,DUKE,2019,17,2026-06-21T03:41:18Z
