school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Clemson,1868.7878009279568,5,3.366831466081454e-05,1.0673141598236389,0.8852598522196946,1693.6489689915186,1.3524085966999588,-0.3078520523198516,13,1.0,0.0,0.985389721401864,1657.6623554242983,10,4,22,ACC,CLEM,2024,17,2026-09-23T04:17:06Z
BYU,1862.8063431622434,5,3.366831466081454e-05,1.0433129887010928,0.6989378347430053,1432.370307162005,-0.46203093825836894,1.9755719160563812,12,1.0,0.0,0.8883441694199534,1642.1350671071925,11,2,23,Big 12,BYU,2024,17,2026-09-23T04:17:06Z
Colorado,1807.581640229016,5,3.366831466081454e-05,0.8217185886052047,1.008782283964588,1412.9312929373157,-0.5970244187168237,1.3179748166083256,12,1.0,-0.03784325682475831,0.8680539946921689,1638.888639150747,9,4,24,Big 12,COLO,2024,17,2026-09-23T04:17:06Z
Missouri,1839.411301014864,5,3.366831466081454e-05,0.9494381454785799,0.6573635073537025,1719.648459704058,1.5329610517197843,-0.08076578305526232,12,1.0,0.04600895039062558,0.8640135087130105,1638.2421613940817,10,3,25,SEC,MIZ,2024,17,2026-09-23T04:17:06Z
Baylor,1800.7894544239869,5,3.366831466081454e-05,0.7944642937179129,0.9368172631198461,1461.8019818412251,-0.2576438147784799,0.9703811322606201,12,1.0,0.0,0.8585231299487829,1637.3637007918053,8,5,26,Big 12,BAY,2024,17,2026-09-23T04:17:06Z
Kansas State,1791.5354116710332,5,3.366831466081454e-05,0.7573315624693282,0.8974740835729208,1693.5592578581086,1.3517856012128981,-0.3409032656640831,12,1.0,0.03411390075792531,0.8545095977238701,1636.7215356358192,9,4,27,Big 12,KSU,2024,17,2026-09-23T04:17:06Z
Iowa,1864.0098420073928,5,3.366831466081454e-05,1.0481421428738082,0.5475851093558067,1542.0288189456417,0.2994883443792338,0.7197802649003546,12,1.0,0.0,0.8228914777907075,1631.6626364465133,8,5,28,Big Ten,IOWA,2024,17,2026-09-23T04:17:06Z
Arkansas,1783.3710553892433,5,3.366831466081454e-05,0.7245713023621835,1.034442872030688,1494.1295859064364,-0.033146021978726764,0.5583948199373355,12,1.0,-0.04560991178924412,0.8184035969237664,1630.9445755078027,7,6,29,SEC,ARK,2024,17,2026-09-23T04:17:06Z
Oklahoma,1792.116388300527,5,3.366831466081454e-05,0.7596627867375341,0.8901979204847169,1747.420544653201,1.7258232186763285,-0.35546582244822933,12,1.0,-0.00039903860138146285,0.818004558322385,1630.8807293315815,6,7,30,SEC,OU,2024,17,2026-09-23T04:17:06Z
Auburn,1763.1521734211824,5,3.366831466081454e-05,0.6434411055055463,0.9991172236680227,1564.7918417108158,0.4575652732454661,-0.037217849981573355,11,1.0,0.0,0.8034953586786607,1628.5592573885856,5,7,31,SEC,AUB,2024,17,2026-09-23T04:17:06Z
Illinois,1831.4753033810243,5,3.366831466081454e-05,0.9175941962778139,0.5024006710938548,1496.9733787792493,-0.01339741265282921,1.3544938321854645,12,1.0,0.03632820977239404,0.7670853197174263,1622.7336511547883,10,3,32,Big Ten,ILL,2024,17,2026-09-23T04:17:06Z
Nebraska,1798.2379846918334,5,3.366831466081454e-05,0.7842262774927649,0.7378478022879394,1527.3853398733945,0.19779727182101217,-0.07160806813241453,12,1.0,-0.018880426640133452,0.7444755370104599,1619.1160859216736,7,6,33,Big Ten,NEB,2024,17,2026-09-23T04:17:06Z
TCU,1780.0514679379407,5,3.366831466081454e-05,0.7112511403555781,0.6901583952852216,1569.0002433107588,0.48679035495880174,0.5652112979069955,12,1.0,0.028997704871114527,0.7307571099450323,1616.9211375912053,9,4,34,Big 12,TCU,2024,17,2026-09-23T04:17:06Z
Tulane,1751.1638988391198,5,3.366831466081454e-05,0.5953370076454098,0.8751533308681888,1533.4344455426312,0.2398050515629546,0.8184886881972251,13,1.0,0.0,0.7212543530956603,1615.4006964953057,9,5,35,American Athletic,TULN,2024,17,2026-09-23T04:17:06Z
Kansas,1793.8652834780264,5,3.366831466081454e-05,0.766680395834629,0.7173362651142532,1587.1826016878279,0.6130570376152734,0.10997855779499238,11,1.0,-0.04271613193654211,0.7017594050739178,1612.2815048118268,5,7,36,Big 12,KU,2024,17,2026-09-23T04:17:06Z
