school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,result_note,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Oregon State,-1.3806311336316706,-13.54921113886049,2,1,Montana,0.008420353661292568,Houston,-0.7050709952589078,0.0,-0.766914707611045,1416.1324073076294,1790.187753145823,-0.8288345033473766,0.4444444444444444,0.0,,1,2,-0.7944346168271923,1372.8904613076493,111,Pac-12,ORST,2026,3,2026-09-23T04:47:05Z,
Western Kentucky,-1.4358336632933346,-34.393356331423114,3,0,,,Nevada,-0.9307756370344575,0.0,-1.196856394280331,1284.2494269745762,1790.187753145823,-0.2477929407847939,0.4,0.0,,0,3,-0.8172310128821162,1369.2430379388613,112,Conference USA,WKU,2026,3,2026-09-23T04:47:05Z,
Missouri State,-1.38346440915198,-22.534896139891504,2,1,Lindenwood,0.008420353661292568,Marshall,-0.9277556190797083,0.0,-0.9306455264725717,1357.2419761645533,1790.187753145823,-0.6836160485616188,0.4444444444444444,0.0,,1,2,-0.820854647401037,1368.663256415834,113,Conference USA,MOST,2026,3,2026-09-23T04:47:05Z,
Jacksonville State,-1.6277521553783272,-17.725102078719424,3,1,Georgia Southern,0.07690705467556269,Ohio,-0.8929955505923206,0.0,-1.0964122478983522,1445.0085664575165,1790.187753145823,-0.5388631009514164,0.36363636363636365,0.07022320136862892,,2,2,-0.823443902185383,1368.2489756503387,114,Conference USA,JXST,2026,3,2026-09-23T04:47:05Z,
Ball State,-1.0923528769217032,-28.98283797975218,2,1,Stony Brook,0.008420353661292568,Liberty,-0.8571648733613995,0.0,-0.7459233660077546,1224.6157469442953,1790.187753145823,-0.9999182965401325,0.4444444444444444,0.0,,1,2,-0.8588100017999225,1362.5903997120124,115,Mid-American,BALL,2026,3,2026-09-23T04:47:05Z,
Southern Miss,-1.5277800226189204,-24.564029184115167,2,1,Alcorn State,0.008420353661292568,UConn,-0.8601155163396524,0.0,-1.1157388631839398,1333.5865668538254,1790.187753145823,-0.544632920359962,0.4444444444444444,0.0,,1,2,-0.8619139997066163,1362.0937600469415,116,Sun Belt,USM,2026,3,2026-09-23T04:47:05Z,
Florida International,-1.5908478399453574,-18.680087584480834,3,0,Buffalo,0.033505256614796974,Florida Atlantic,-0.9257044634160987,0.0,-1.075457072014664,1406.7526949460096,1790.187753145823,-0.5511346709872118,0.4,0.0,,1,2,-0.865728111603683,1361.4835021434108,117,Conference USA,FIU,2026,3,2026-09-23T04:47:05Z,
Georgia Southern,-1.62610267009422,-16.635844877318302,2,1,Charleston Southern,0.008420353661292568,Jacksonville State,-0.8744686669626413,0.0,-1.0752181417864235,1419.3829350088984,1790.187753145823,-0.5087261026840821,0.4444444444444444,-0.07022320136862892,,1,2,-0.8936671035540119,1357.0132634313582,118,Sun Belt,GASO,2026,3,2026-09-23T04:47:05Z,
UTEP,-1.0762886732874106,-23.959089821640543,2,1,Texas Southern,0.008420353661292568,Michigan,-0.5607067900862941,0.0,-0.6394561097082839,1309.644227970565,1790.187753145823,-1.2441349540552953,0.4444444444444444,0.0,,1,2,-0.9082022627514001,1354.6876379597759,119,Mountain West,UTEP,2026,3,2026-09-23T04:47:05Z,
Coastal Carolina,-1.6473047423179352,-14.167096966620383,2,1,Fordham,0.008420353661292568,Delaware,-0.8684198016009629,0.0,-1.0528947381353904,1401.7051212492124,1790.187753145823,-0.7294667759784949,0.4444444444444444,0.0,,1,2,-0.9091489771767702,1354.5361636517168,120,Sun Belt,CCU,2026,3,2026-09-23T04:47:05Z,
San José State,-1.3116169960815671,-21.65072457190945,3,1,Eastern Michigan,0.04841985466238541,Fresno State,-0.8493717821574439,0.0,-0.8407524310860163,1329.2410667730437,1790.187753145823,-1.122178957039204,0.36363636363636365,0.0,,2,2,-0.9430893496144481,1349.1057040616884,121,Mountain West,SJSU,2026,3,2026-09-23T04:47:05Z,
Buffalo,-1.307224986533297,-30.57731502093192,2,1,UAlbany,0.008420353661292568,Florida International,-0.898216014774633,0.0,-0.9959769067180101,1277.5445154432866,1790.187753145823,-0.9328033010656653,0.4444444444444444,0.0,,1,2,-0.9678997486503014,1345.1360402159517,122,Mid-American,BUF,2026,3,2026-09-23T04:47:05Z,
Hawai'i,-1.7779389155497305,-25.22762997067264,3,0,New Mexico State,0.04917093974051712,Stanford,-0.9149981776001537,0.0,-1.3855114798569435,1373.1174927280167,1790.187753145823,-0.36325615715532805,0.4,0.0,,1,2,-0.9766093507762973,1343.7425038757924,123,Mountain West,HAW,2026,3,2026-09-23T04:47:05Z,
UAB,-1.624028640245791,-24.971823887223604,3,0,UL Monroe,0.017845346999459943,Louisiana,-0.8808201976155515,0.0,-1.2222625760128263,1323.0112123741683,1790.187753145823,-0.803708715695482,0.4,0.0,,1,2,-1.0548410318858885,1331.2254348982578,124,American Athletic,UAB,2026,3,2026-09-23T04:47:05Z,
